Product_No,Description,Product_Type,Case_tray,Backup_Boxes
120,Milk Coconut Clusters,Clusters,,
130,Milk Peanut Clusters,Clusters,,
135,Dark Peanut Clusters,Clusters,,
253,Kilwins 72% Dark Almond Bark,Barks,,
300,Chocolate Bon Bon,Creams,,
315,Strawberry Bon Bon,Creams,,
325,Milk Vanilla Cream,Creams,,
335,Milk Orange Cream,Creams,,
340,Dark Orange Cream,Creams,,
341,White Lemon Cream,Creams,,
355,Milk Raspberry Cream,Creams,,
360,Dark Raspberry Cream,Creams,,
413,Hazelnut Truffle,Truffles,,
416,Milk Dubai Chocolate Truffle,Truffles,,
417,Dark Dubai Chocolate Truffle,Truffles,,
419,Irish Cream Truffle,Truffles,,
421,Raspberry Truffle,Truffles,,
424,Champagne Truffle,Truffles,,
431,Dark Chocolate Truffle,Truffles,,
436,Peppermint Truffle,Truffles,,
500,Tuttle Nut Caramels Mk Pecan,Tuttles,,
505,Tuttle Nut Caramels Dk Pecan,Tuttles,,
508,Almond Toffee Crunch,Toffee,,
515,Sea Salt Milk Caramels,Caramels,,
520,Milk Caramels,Caramels,,
524,Sea Salt Dark Caramels,Caramels,,
530,Tuttle Nut Caramels Mk Cashew,Tuttles,,
538,White Macadamia Tuttle,Tuttles,,
540,Milk Cherry Cordial,Fruits,,
545,Dark Cherry Cordial,Fruits,,
560,Milk English Toffee Bar,Toffee,,
561,Dark English Toffee Bar,Toffee,,
625,Dark Orange Peel,Fruits,,
640,Nsa Toffee Bites 6 Oz Cs4,,,
647,Nsa Chocolate Fudge 7 Oz Cs4,,,
649,Nsa  White Choc Squares 5 Oz Cs 4,,,
654,Nsa Milk Chocolate Squares 5 Oz Cs 4,,,
655,Nsa Milk Chocolate Caramels 5 Oz Cs 4,,,
662,Nsa Peanut Clusters Asst 5 Oz Cs4,,,
676,Nsa Milk Pecan Tuttle™ Nut Caramels 5 Oz Cs4,,,
680,S/f Peanut Brittle 6oz Bag Cs4,,,
681,S/f Taffy 3.5 Oz Bag Cs12,,,
685,S/f Caramel Corn 4 Oz Bag Cs4,,,
760,Kilwins Choc Shred 1.5 Lb Bg Cs11,,,
952,Classic Marsh-mallow Bag Cs4,,,
1110,Marzipan Fruits 1.56 Lb 54 Pc Bx,,,
1376,Gummy Gator Blue Raspberry 2.5 0z Cs12,,,
1377,Gummy Gator Sour Apple 2.5 Oz 12 Cs,,,
1378,Gummy Turtle Sour Apple/grape 3 Oz Cs 12,,,
1379,Gummy Turtle Pineapple/apple 3 Oz 12 Cs,,,
