Product_No,Description,Target,Min,Stk Ord
65300,"Our Signature Turtle 6"" Gourmet Cake & Ice Cream", EA,,____/____
65305,"Our Signature Turtle 10"" Gourmet Cake & Ice Cream", EA,,____/____
65310,"Toasted Coconut 6"" Gourmet Cake & Ice Cream", EA,,____/____
65315,"Toasted Coconut 10"" Gourmet Cake & Ice Cream", EA,,____/____
65320,"Grasshopper 6"" Gourmet Cake & Ice Cream", EA,,____/____
65325,"Grasshopper 10"" Gourmet Cake & Ice Cream", EA,,____/____
65330,"Cookies & Cake 6"" Gourmet Cake & Ice Cream", EA,,____/____
65335,"Cookies & Cake 10"" Gourmet Cake & Ice Cream", EA,,____/____
65350,"Sea-salt Caramel 6"" Gourmet Cake & Ice Cream", EA,,____/____
65355,"Sea-salt Caramel 10"" Gourmet Cake & Ice Cream", EA,,____/____
65360,"Five Chocolate 6"" Gourmet Cake & Ice Cream", EA,,____/____
65365,"Five Chocolate 10"" Gourmet Cake & Ice Cream", EA,,____/____
