Product_No,Description,Target,Min,Stk Ord
1984,Kilwins Giant Straw Bg300, BG,,____/____
1986,20 Oz Clear Plastic Cup Cs1000, CS,,____/____
1987,Lid For 20 Oz Cup Cs1000, CS,,____/____
1988,Sundae Dish 16 Oz Plastic Cs504, CS,,____/____
1989,Lid For 16oz Sundae Dish Cs504, CS,,____/____
1991,Dome Lid 7/12 Oz Dish Cs1000, CS,,____/____
1992,Kilwins Napkin Cs6000, CS,,____/____
1993,Dome Lid For 20 Oz Cup Cs1000, CS,,____/____
1998,Kilwins Cone Mix 50 Lb Bg, BG,,____/____
1999,Quart Ice Cream Container Cs500, CS,,____/____
2000,Lid For Quart Container Cs500 Ice Cream, CS,,____/____
2009,Sundae Spoon Cs1000 White With Logo, CS,,____/____
2011,Wooden Taster Spoon Cs3000, CS,,____/____
2012,Wooden Knife Cs1000 Kilwins Logo, CS,,____/____
2014,Soda Spoon Plastic Cs1000, CS,,____/____
2034,Cake Cone-Kilwins Cs750, CS,,____/____
2037,Waffle Baker Spray 1bt Premium Grid Conditioner, BT,,____/____
2040,Ice Cream Dish 12oz  Cs1000, CS,,____/____
2041,Ice Cream Dish 16oz  Cs500, CS,,____/____
2042,Sm Ice Cream Dish 7oz Cs1000, CS,,____/____
2043,Dome Lid For 16 Oz Dish Cs1000, CS,,____/____
2579,Strawberry Syrup 1 Gal, GL,,____/____
2582,Vanilla Syrup 1 Gal, GL,,____/____
2583,Kilwins Malt Powder 1 Lb Can Cs6, CS,,____/____
2587,Kilwins Chocolate Syrup 9Lb,PL,,
2594,Maraschino Cherry W/stem .5 Gal, EA,,____/____
2610,Fudge Topping 9 Lb Pl, PL,,____/____
2611,Caramel Topping 9 Lb Pl, PL,,____/____
11004,Sanitizing Tablets 100btl 6cs, CS,,____/____
11010,Bottled Water 16.9 Oz Cs24, CS,,____/____
11024,White Vinegar 1gal, GL,,____/____
11025,Dawn Dish Soap 38 Oz, BT,,____/____
1986S,Clear Plastic Cup 20oz Sl50 Sleeve Of 50, SL,,____/____
1989S,Dome Lid 16oz Dish Sl63 Sleeve Of 63, SL,,____/____
1991S,Dome Lid For 8oz Dish Sl100 Sleeve Of 100, SL,,____/____
1993S,Dome Lid 20oz Plastic Cup Sl50 Sleeve Of 50, SL,,____/____
1999S,Quart Ice Cream Container Sl25 Sleeve Of 25, SL,,____/____
2000S,Lid For Ice Cream Quart Sl25 Sleeve Of 25, SL,,____/____
2043S,Dome Lid For 16oz Dish Sl100 Sleeve Of 100, SL,,____/____
