Product_No,Description,Target,Min,Stk Ord
3027,Blueberry Waffle Cone, TB,,____/____
3051,Cake Batter, TB,,____/____
3053,Cappuccino Chocolate Chip, TB,,____/____
3060,Chocolate, TB,,____/____
3062,Chocolate Chip, TB,,____/____
3070,Chocolate Chip Cookie Dough, TB,,____/____
3072,Chocolate Peanut Butter, TB,,____/____
3075,Cookies & Cream, TB,,____/____
3085,Dulce De Leche, TB,,____/____
3101,Fudgie Brownie, TB,,____/____
3103,Georgia Peach, TB,,____/____
3132,Pumpkin Pie, TB,,____/____
3150,Mint Chocolate Chip, TB,,____/____
3190,Kilwns Mud, TB,,____/____
3200,New Orleans Praline Pecan, TB,,____/____
3225,Old Fashioned Vanilla, TB,,____/____
3250,Peppermint, TB,,____/____
3255,Pistachio, TB,,____/____
3270,Rum Raisin, TB,,____/____
3275,Strawberries & Cream, TB,,____/____
3285,Superman, TB,,____/____
3320,Toasted Coconut, TB,,____/____
3355,Kilwns Turtle Cheesecake, TB,,____/____
3681,Nsa Caramel Ripple, TB,,____/____
3725,Lemon Sorbetto, TB,,____/____
3745,Raspberry Sorbetto, TB,,____/____
3800,Sea-salt Caramel, TB,,____/____
3804,Marsh-mallow S'more, TB,,____/____
3812,"""the Perfect"" Apple Pie", TB,,____/____
3814,Sea-salt Chocolate Caramel, TB,,____/____
3816,Chocolate Toasted Coconut, TB,,____/____
