Product_No,Description,Target,Min,Stk Ord
1511,"B&w Gift Wrap 17.5""x417' Rl Custom Wrapping Paper", RL,,____/____
1535,Ribbon Wht/blk Print 7/8 In 100yd, RL,,____/____
1536,Ribbon Blk/wht Print 7/8 In 100yd, RL,,____/____
1565,Red Ribbon .25 In 100 Yd Rl Grosgrain, RL,,____/____
1567,Pink Ribbon .25 In 100 Yd Rl Grosgrain, RL,,____/____
1568,Green Ribbon .25 In 100 Yd Rl Grosgrain, RL,,____/____
1571,Red Ribbon 7/8 In 100 Yd Rl Grosgrain, RL,,____/____
1573,Pink Ribbon 7/8 In 100 Yd Rl Grosgrain, RL,,____/____
1574,Green Ribbon 7/8 In 100 Yd Rl Grosgrain, RL,,____/____
1580,Red Pretie Bow For Tin Bg25 .5 In, BG,,____/____
1585,Blue Pretie Bow For Tin Bg25 .5 In, BG,,____/____
1587,Purple Pretie Bow For Tin Bg25 .5 In, BG,,____/____
1800,Red Pretie Bow For 9 Oz Bx 7/8x9.75 In Bg25, BG,,____/____
1802,Pink Pretie Bow For 9 Oz Bx 7/8x9.75 In Bg25, BG,,____/____
1804,Blue Pretie Bow For 9 Oz Bx 7/8x9.75 In Bg25, BG,,____/____
1806,Red Pretie Bow For 14 Oz Bx 7/8x12 In Bg25, BG,,____/____
1812,Red Pretie Bow For 28 Oz Bx 7/8x17 In Bg25, BG,,____/____
1813,Yellow Pretie Bow For 28 Oz Bx 7/8x17 In Bg25, BG,,____/____
1815,Green Pretie Bow For 28 Oz Bx 7/8x17 In Bg25, BG,,____/____
1818,Purple Pretie Bow For 9 Oz Bx 7/8x9.75 In Bg25, BG,,____/____
1819,Purple Pretie Bow For 14 Oz Bx 7/8x12 In Bg25, BG,,____/____
1820,Purple Pretie Bow For 28 Oz Bx 7/8x17 In Bg25, BG,,____/____
1900,Brown Choc Cups Bx28m 28m, BX,,____/____
1905,Kilwins Fudge Sample Sheet 3.75 X 3.75 In Bl1000, BL,,____/____
1906,Deli Papers 12x10.75 Bx1000 12x10.75 In, BX,,____/____
1910,Kilwins B&w 8 Oz Window Bx C200, CS,,____/____
1913,B&w 8 Oz Fudge Bx Cs550, CS,,____/____
1918,B&w Bow Box 8 Oz Cs200, CS,,____/____
1920,B&w Bow Box 1 Lb Cs400, CS,,____/____
1926,B&w Triple Fudge Box C200, CS,,____/____
1927,B&w 2 Pc Bow Box Cs200, CS,,____/____
1941,Bag 2 Lb White Sm Bl 1000, BL,,____/____
1942,B&w Plastic Bag Cs500 16x18x4 In W/handle, CS,,____/____
1944,B&w Medium Gift Bag Bl 25 10x6x13 In, BL,,____/____
1945,B&w Large Gift Bag Bl 25 13x8x11 In, BL,,____/____
1947,B&w Small Gift Bag Bl 25 8x5x6 In, BL,,____/____
1950,Bag 12 Lb White Medium Bl 500, BL,,____/____
1966,Lbl Kilwins Sm B&w Oval 1000rl, RL,,____/____
2026,Sm Apple Box With Logo Bl 50, BL,,____/____
2028,Caramel Chew Wrapper 5x5 Bl 1000, BL,,____/____
2029,Sea Salt Chew Wrapper 5x5 Bl 1000, BL,,____/____
2065,Monarch Labeler Price Gun 1ea, EA,,____/____
2066,Price Labels For Gun14000rl Removeable #1136 Custom Label, SL,,____/____
2083,Kilwins Note Cards Bx50, BX,,____/____
5041,2oz Heart Shrink Band 50bl, BL,,____/____
5042,8oz Heart Shrink Band 25bl 260mm X 50mm Skirt X 15mm, BL,,____/____
5043,1lb Heart Shrink Band 25bl 375mm X 55mm Skirt X 20mm, BL,,____/____
5044,2lb Heart Shrink Band 25bl 500mm X 55mm Skirt X 20mm, BL,,____/____
6201,Pink Raffia Ribbon 500 Yd Rl, RL,,____/____
6202,Purple Raffia Ribbon 500 Yd Rl, RL,,____/____
9187,2 Pc Wine Btl Truffle Bx Bl 50, BL,,____/____
9191,Wht Square Acetate Liner Pk100 4-1/16 X 4-1/16 Fits #9188, CS,,____/____
9192,Wht Rect. Acetate Liner Pk100 2-5/8 X 8, CS,,____/____
9221,5 X 3-1/2 X 9 Gusset Bag Cs250, CS,,____/____
9222,5 X 3-1/2 X14 Gusset Bag Cs250, CS,,____/____
9228,Shrink Band For Qt Cont Cs200, CS,,____/____
9233,Kilwins Bagged Candy Bag Oval L 2x1-3/4x8 Cs250, CS,,____/____
9236,Kilwins Krispie® - Chew Bag Caramel Chew Bag Bl 100, CS,,____/____
9242,Clear Twist Ties Bx2000 1bx = 1rl, BX,,____/____
9243,Seasalt Chew Bag Bl 100 2 5/8 X 1 7/8 X 7 1/2, CS,,____/____
9301,4.25x4.25in Acetate Kilwins Cs50, CS,,____/____
9302,8.25x2.75 Ln Acetate Kilwins Cs50, CS,,____/____
998203,Red Tablecloth Overlay, EA,,____/____
998205,Blue Tablecloth Overlay, EA,,____/____
998206,"90"" Round B&w Flourish Tablecloth", EA,,____/____
998207,Purple Tablecloth Overlay, EA,,____/____
