Product_No,Description,Target,Min,Stk Ord
1946,Lbl Wh Custom Store Oval 250rl, RL,,____/____
1953,250rl Lbl Sm White Oval Custom 1x1.25 In, RL,,____/____
1956,Rl 250 Clear Oval Security Tab 1 5/8 X 1, RL,,____/____
40023L,Lbl Top Seller Sampler 5oz 100rl, RL,,____/____
4082L,Lbl Pecan Snapper 100rl, RL,,____/____
4083L,Lbl Kilwins Bear Claw 100rl, RL,,____/____
41070B,Lbl Win Tuttle Nut Caramel Nut Caramels 8 Oz 100rl, RL,,____/____
4116L,Lbl Wht Dk St Mk Twinkie® 3 Oz 100rl, RL,,____/____
4199B,Lbl  Mini Twist 7 Oz 100rl, RL,,____/____
4273B,Lbl Win Peppermint Pattie 8 Oz 100r, RL,,____/____
4277L,Lbl Wht & Dk Str Pretzel Rod 100rl, RL,,____/____
4297B,Lbl Win Mk Choc Creams 8 Oz 100rl, RL,,____/____
4298B,Lbl Win Dk Choc Cream 8 Oz 100rl, RL,,____/____
4299B,Lbl Win Cream Asst 8 Oz 100rl, RL,,____/____
43015B,Lbl Win Dbl Dk Sea Salt Caramel Fudge 8 Oz 100rl, RL,,____/____
4301B,Lbl Win Almond Toffee Crunch 8 Oz 100rl, RL,,____/____
4304B,Lbl Win Dk Almond Cluster 8 Oz 100rl, RL,,____/____
43051B,Lbl Win Mk & Dk Caramel 8 Oz 100rl, RL,,____/____
43052B,Lbl Win Bx Pecan Tuttle Nut Caramels 8 Oz 100rl, RL,,____/____
4305B,Lbl Win Dk Caramels 8 Oz 100rl, RL,,____/____
4306B,Lbl Win Dk Cashew Cluster 8 Oz 100rl, RL,,____/____
4307B,Lbl Win Mk Pecan Cluster 8 Oz 100rl, RL,,____/____
4308B,Lbl Win Dk Cashew Tuttle Nut Caramels 8 Oz 100 Rl, RL,,____/____
4309B,Lbl Win Dk Cherry Cordials 8 Oz 100rl, RL,,____/____
43109B,Lbl Win Truffle Asst 8 Oz 100rl, RL,,____/____
4310B,Lbl Win Bx Dk Mini Pretzel 7oz 100rl, RL,,____/____
4311B,Lbl Win Dk Coconut Clusters 8 Oz 100rl, RL,,____/____
43128L,2pc Lbl 50rl Dubai Truffles 3.5 Oz, RL,,____/____
4312B,Lbl Win Dk Orange Peel 8 Oz 100rl, RL,,____/____
4313B,Lbl Win Dk Peanut Clusters 8 Oz 100rl, RL,,____/____
4315B,Lbl Win Dk Pecan Cluster 8 Oz 100rl, RL,,____/____
4316B,Lbl Win Dk Pecan Tuttle Nut Caramels 8 Oz 100rl, RL,,____/____
4319B,Lbl Win Mk Caramels 8 Oz 100rl, RL,,____/____
4322B,Lbl Win Mk Cherry Cordials 8 Oz 100rl, RL,,____/____
4323B,Lbl Win Mk Mini Pretzels 7 Oz 100rl, RL,,____/____
4324B,Lbl Win Mk Coconut Cluster 8 Oz 100rl, RL,,____/____
4327B,Lbl Win Mk Peanut Clusters 8 Oz 100rl, RL,,____/____
4329B,Lbl Win Mk Pecan Tuttle Nut Caramels 8 Oz 100rl, RL,,____/____
4331B,Lbl Wn Wht Macadamia Tuttle Nut Caramels 8 Oz 100rl, RL,,____/____
4332B,Lbl Win Wht Mini Pretzels 7 Oz 100rl, RL,,____/____
4333B,Lbl Win Asst Mini Pretzel 7 Oz 100rl, RL,,____/____
4334B,Lbl Win Asst Pretzel Twist 4 Oz 100rl, RL,,____/____
4337B,Lbl Win Choc Fudge 8 Oz 100rl, RL,,____/____
4338B,Lbl Win Choc Pb Fudge 8 Oz 100rl, RL,,____/____
4385B,Lbl Win Peppermint Stick Fudge 8 Oz 100rl, RL,,____/____
4387B,Lbl Win Praline Pecan Fudge 8 Oz 100rl, RL,,____/____
4389B,Lbl Win Pumpkin Walnut Fudge 8 Oz 100rl, RL,,____/____
4393B,Lbl Win Maple Fudge 8 Oz 100rl, RL,,____/____
4395B,Lbl Win Turtle Fudge 8 Oz 100rl, RL,,____/____
4406L,Lbl Win Bx Dk Almd Toffee Crun H 8oz 100rl, RL,,____/____
4410L,Lbl Caramel Corn 5 Oz 100rl, RL,,____/____
44121L,Lbl 9 Pc Truffle Asst 4.75 Oz 100rl, RL,,____/____
44127L,Lbl 9 Pc Cream Asst 5 Oz 100rl, RL,,____/____
4412L,Lbl Caramel Corn 16 Oz 100rl, RL,,____/____
4416L,Lbl Peanut Corn 7 Oz 100rl, RL,,____/____
4418L,Lbl Peanut Corn 1.25 Lb 100rl, RL,,____/____
4420L,Lbl Nutcracker Sweets 8 Oz 100rl, RL,,____/____
4422L,Lbl Nutcracker Sweet 1.5 Lb 100rl, RL,,____/____
4430L,Lbl Peanut Brittle 14 Oz 100rl, RL,,____/____
4432L,Lbl Cashew Brittle 14 Oz 100rl, RL,,____/____
4434L,Lbl Pecan Brittle 14 Oz 100rl, RL,,____/____
44951L,Lbl 4pc Cookie Asst 4 Oz 100rl, RL,,____/____
44991L,Lbl Caramel Chews 6 Oz 100rl, RL,,____/____
4502L,Lbl 4pc Mummy Cookies Rl100, RL,,____/____
45035L,Lbl Pkg Sea-salt Caramel Chews 6 Oz 100 Rl, RL,,____/____
45149L,2pc Lbl 50rl Cookies & Cream Bark 6oz, RL,,____/____
4515L,Pkg 12 Pc Wht Choc Party Cup Assortment 4.8 Oz, RL,,____/____
4516L,Pkg 12 Pc Party Cup Asst 4.8 Oz, RL,,____/____
4528L,Lbl 4 Pc Choc Asst 2 Oz 100rl, RL,,____/____
4530L,Lbl Striped Cookie Assortment 4.65 Oz 100rl, RL,,____/____
4531L,Lbl Cookie Asst 4.4 Oz 100rl, RL,,____/____
4533L,Lbl Pretzel Rod Sampler 3 Oz 100 Rl, RL,,____/____
4534L,Lbl Sprinkle Twist Asst 4 Oz 100rl, RL,,____/____
4536L,Lbl 4pc Choc Asst 2.0 Oz 100rl, RL,,____/____
4537L,Lbl 2 Pc Choc Asst 100rl 1oz Mk Caramel & Choc Truf, RL,,____/____
4538L,Lbl Pecan Caramel Pretzel Rod 2.5 Oz 100rl, RL,,____/____
4539L,Lbl Pecan Tuttle Pretzel Rod 2.6 Oz 100rl, RL,,____/____
4540L,Lbl Cashew Tuttle Pretzel Rod 2.5 Oz 100rl, RL,,____/____
4542L,Lbl Wht Mk Dk Pretzel Rod Asst 6 Oz 100rl, RL,,____/____
4549L,Lbl Sprinkled Wht Krispie® 2.5 Oz 100rl, RL,,____/____
4550L,Lbl Sprinkled Mk Krispie® 2.9 Oz 100rl, RL,,____/____
4565L,Lbl Family Asst 14 Oz 100rl, RL,,____/____
4574L,Lbl Truffle Asst 9.5 Oz 100rl, RL,,____/____
4575L,Lbl Milk Pecan Tuttle Nut Caramels 12 Oz 100 Rl, RL,,____/____
4577L,Lbl Cherry Cordial 21 Oz Asst 100rl, RL,,____/____
4578L,Lbl 4 Pc Cherry Cordial Asst 2 Oz 100rl, RL,,____/____
4584L,Lbl Caramel Asst 9 Oz 100rl, RL,,____/____
4585L,Lbl Caramel Asst 16 Oz 100rl, RL,,____/____
4714B,Lbl Win Mk Buckeye 6.4oz 100rl, RL,,____/____
4715B,Lbl Win Dk Buckeye 6.4oz 100rl, RL,,____/____
4716B,Lbl Win Buckeye Asst 6.4oz 100rl, RL,,____/____
4742B,Lbl Win Mk Dubai Buckeye 100rl, RL,,____/____
4743B,Lbl Win Dk Dubai Buckeye 100rl, RL,,____/____
4744B,Lbl Win Dubai Buckeyes 100rl, RL,,____/____
4762L,Lbl Mk&dk Caramel Sq Acetate 4.75 Oz 100rl, RL,,____/____
4765L,Lbl Mk Caramel Sq Ace 4.75 Oz 100rl, RL,,____/____
4768L,Lbl Rec Acet Pecan Tuttle Nut Caramels 12 Oz 100rl, RL,,____/____
4990L,Mother's Day Bliss Bundle 25rl Rectangle Labels, RL,,____/____
4991L,Mother's Day Cookies Bdl 25rl Rectangle Labels, RL,,____/____
4992L,Father's Day Gift Bdl 25rl Rectangle Labels, RL,,____/____
50000L,Lbl Truffle Sampler 3 Oz 100rl, RL,,____/____
50001L,Lbl Val Truffle Asst 7.25 Oz 100rl, RL,,____/____
50002L,Lbl Val Truffle Asst 1.2 Lb 100rl, RL,,____/____
50010L,Lbl Family Sampler Heart 3 Oz 100rl, RL,,____/____
50011L,Lbl Val Family Asst 8 Oz Heart Box 100rl, RL,,____/____
50012L,Lbl Val Family Asst 17 Oz Heart Box 100rl, RL,,____/____
50018L,Lbl 6pc Dubai Truffle 100rl, RL,,____/____
50019L,Lbl 10pc Dubai Buckeye 100rl, RL,,____/____
50025L,Lbl 10pc Pb Buckeye 100rl, RL,,____/____
63050L,Lbl Butter Pecan Quart 25rl, RL,,____/____
63053L,Lbl Cappuccino Chip Quart 25rl, RL,,____/____
63060L,Lbl Chocolate Quart 25rl, RL,,____/____
63070L,Lbl Choc Chip Cookie Quart 25rl, RL,,____/____
63101L,Lbl Fudgie Brownie Quart 25rl, RL,,____/____
63150L,Lbl Mint Choc Chip Quart 25rl, RL,,____/____
63200L,Lbl Praline Pecan Quart 25rl, RL,,____/____
63225L,Lbl Vanilla Quart 25rl, RL,,____/____
63285L,Lbl Superman Quart 25rl, RL,,____/____
63320L,Lbl Toasted Coconut Quart 25rl, RL,,____/____
63355L,Lbl Turtle Cheesecake Quart 25rl, RL,,____/____
63755L,Lbl Mango Sorbetto Quart 25rl, RL,,____/____
63800L,Lbl Sea-salt Caramel Quart 25rl, RL,,____/____
63804L,Lbl Marshmallow Smore Quart 25rl, RL,,____/____
63810L,Lbl Two Berry Pie Quart 25 Rl, RL,,____/____
63816L,Lbl Choc Toasted Coconut Quart 25rl, RL,,____/____
63823L,Lbl Double Peanut Butter Pie Quart 25rl, RL,,____/____
83075L,Lbl Cookies & Cream Quart 25rl, RL,,____/____
